code,funding,fundpop,fundeq,fundpov,fundter,pop,popurb,cases,shp2,dep,mun,area,party,trfpop,dens,infpop,quintile,grp,agr
0305,1117718.2,590239.816113972,182919.8454961832,250313.6980485164,94244.8298061057,19984,15.5,50,162,San Miguel,Chirilagua,206.9,FMLN,55.93065452361889,0.09658772353794103,2.502001601281025,5,2,3
0306,776641.4,340615.467112799,182919.8454961832,160501.0818758672,92604.9977021812,10705,9.8,52,177,San Miguel,Sesori,203.3,PDC-PCN,72.54940681924334,0.05265617314313822,4.857543204110229,4,2,3
0307,817707.93,461918.840371064,182919.8454961832,152362.226626373,20507.02053296703,13290,42.1,90,176,San Miguel,San Rafael Oriente,45.02,FMLN,61.52806094808127,0.2952021323856064,6.772009029345372,4,2,3
0308,1009645.61,568772.6007882489,182919.8454961832,211058.49614338932,46894.6640552856,22659,28.5,172,167,San Miguel,Moncagua,102.95,FMLN,44.5582598525972,0.22009713453132587,7.590802771525664,4,2,3
0309,790341.37,424408.950139741,182919.8454961832,139989.7358692214,43022.8346432416,14916,29.6,102,166,San Miguel,Lolotique,94.45,GANA,52.986147090372754,0.15792482795129698,6.838294448913918,4,2,3
0310,592284.63,302409.248900183,182919.8454961832,89773.719568802,17181.80515556455,9115,28.5,44,173,San Miguel,San Jorge,37.72,ARENA,64.9791146461876,0.2416489925768823,4.827207899067472,3,2,3
0311,654718.25,319307.89088522596,182919.8454961832,105322.5396401367,47167.971072606306,10728,22.1,68,160,San Miguel,Chapeltique,103.55,PDC-PCN,61.02891964951529,0.1036021245774988,6.33855331841909,3,2,3
0312,489458.36,188755.27668519772,182919.8454961832,80048.8750290966,37734.376858085,5986,16.4,22,172,San Miguel,San Gerardo,82.84,PDC-FMLN,81.76718342799866,0.07225977788507967,3.6752422318743734,2,2,3
0313,596464.3500000001,281859.141159577,182919.8454961832,107579.80624119111,24105.54292769025,8240,14.7,45,159,San Miguel,Carolina,52.92,FMLN,72.38645024271845,0.15570672713529857,5.461165048543689,3,2,3
0314,407078.82999999996,165046.2261514082,182919.8454961832,48995.9058019554,10116.861757823139,4049,58.3,71,170,San Miguel,Quelepa,22.21,FMLN,100.53811558409483,0.18230526789734353,17.53519387503087,2,5,5
0315,590634.86,232504.9274123049,182919.8454961832,98602.578642103,76607.5229550065,5637,19.2,26,174,San Miguel,San Luis de la Reina,168.18,ARENA,104.77822600674118,0.0335176596503746,4.612382472946603,3,4,4
0316,330284.69,83287.3743966357,182919.8454961832,35321.190604884796,28756.284339098398,4034,14.4,20,169,San Miguel,Nuevo Edén de San Juan,63.13,FMLN,81.87523301933565,0.06389988911769365,4.95785820525533,1,2,3
0317,454211.27,223062.06820257212,182919.8454961832,37839.184809507096,10390.15877514389,8905,56.9,240,168,San Miguel,Nueva Guadalupe,22.81,GANA,51.00631892195396,0.3903989478298992,26.951151038742278,2,1,1
0318,355164.36,124081.877349474,182919.8454961832,31572.9908563567,16589.63995136959,3351,38.7,22,178,San Miguel,Uluazapa,36.42,PCN,105.98757385854968,0.09200988467874793,6.565204416592062,1,5,5
0319,348805.13,119666.15527298031,182919.8454961832,30449.400078550403,15769.72889940734,3199,14,35,164,San Miguel,Comacarán,34.62,FMLN,109.03567677399188,0.09240323512420566,10.940919037199125,1,5,5
0320,489718,216472.4392576507,182919.8454961832,82623.05877260919,7702.65977148984,5304,8,21,171,San Miguel,San Antonio,16.91,ARENA,92.32993966817496,0.31366055588409225,3.959276018099547,2,4,4
0401,947792.4199999999,386199.343010142,182919.8454961832,327565.114756459,51108.122238980504,121908,89.3,3785,81,La Libertad,Santa Tecla,112.2,ARENA,7.774653181087377,1.086524064171123,31.048003412409358,4,1,1
0402,1527955.1,951615.9838202561,182919.8454961832,336307.539154544,57111.7323861263,52643,68.7,558,84,La Libertad,Quezaltepeque,125.38,ARENA,29.02484850787379,0.4198676024884352,10.599699865129267,5,3,2
0403,1512626.68,946228.8014869329,182919.8454961832,343958.061489069,39519.9667045806,60314,68.8,230,74,La Libertad,Ciudad Arce,86.76,ARENA,25.079196869715155,0.695182111572153,3.8133766621348277,5,2,3
