"year","month","office","unit","line","source","object","approved","modified","reserved","accrued"
"2020","01","0300","01","0104","1","54203",10828.0,0.0,0.0,0.0
"2020","01","0300","01","0104","1","54313",0.0,0.0,0.0,0.0
"2020","01","0300","01","0104","1","54399",0.0,796.64,796.64,796.64
"2020","01","0300","01","0104","1","54403",0.0,33.14,33.14,33.14
"2020","01","0300","01","0104","1","54404",0.0,6435.0,6435.0,6435.0
"2020","01","0300","01","0104","1","55599",2785.0,2911.46,2911.46,2911.46
"2020","01","0300","01","0104","1","55601",66465.0,0.0,0.0,0.0
"2020","01","0300","01","0104","1","55602",45290.0,0.0,0.0,0.0
"2020","01","0300","02","0201","1","51101",4086.0,4086.0,4071.45,4071.45
"2020","01","0300","02","0201","1","51201",69707.0,69707.0,67155.87,67155.87
"2020","01","0300","02","0201","1","51401",381.0,380.57,177.5,177.5
"2020","01","0300","02","0201","1","51402",5748.0,5731.67,3433.22,3433.22
"2020","01","0300","02","0201","1","51501",183.0,183.43,183.43,183.43
"2020","01","0300","02","0201","1","51502",3605.0,3621.33,3621.33,3621.33
"2020","01","0300","02","0202","1","51101",2477.0,2477.0,1722.65,1722.65
"2020","01","0300","02","0202","1","51201",79014.0,80094.33,80094.33,80094.33
"2020","01","0300","02","0202","1","51401",184.0,184.0,127.76,127.76
"2020","01","0300","02","0202","1","51402",5631.0,4550.67,4216.38,4216.38
"2020","01","0300","02","0202","1","51501",192.0,192.0,130.33,130.33
"2020","01","0300","02","0202","1","51502",5277.0,5277.0,4650.92,4650.92
"2020","01","0300","02","0202","1","51702",7335.0,7335.0,7330.68,7330.68
"2020","01","0300","02","0203","1","51105",10725.42,10725.42,10725.42,10725.42
"2020","01","0300","02","0203","1","51201",31593.0,31593.0,31560.34,31560.34
"2020","01","0300","02","0203","1","51402",2272.0,2272.0,1918.08,1918.08
"2020","01","0300","02","0203","1","51502",2225.0,2225.0,1977.31,1977.31
"2020","01","0300","02","0203","1","51702",3820.0,3820.0,0.0,0.0
"2020","01","0300","02","0203","1","51999",3776.0,0.0,0.0,0.0
"2020","01","0300","02","0203","1","54101",513.33,0.0,0.0,0.0
"2020","01","0300","02","0203","1","54201",1508.0,0.0,0.0,0.0
"2020","01","0300","02","0203","1","54202",100.0,227.08,227.08,227.08
"2020","01","0300","02","0203","1","54203",3000.0,0.0,0.0,0.0
"2020","01","0300","02","0203","1","54313",0.0,0.0,0.0,0.0
"2020","01","0300","02","0203","1","55601",60.0,0.0,0.0,0.0
"2020","01","0300","02","0203","1","55602",3460.0,0.0,0.0,0.0
"2020","01","0300","03","0301","1","5620301",746233.0,363529.13,363529.13,363529.13
