"CODIGO";"NOMBRE"
"330605";"Maquilado de artículos de cuero natural, sintético y de otros materiales"
"330606";"Fabricación de artículos de cuero y sucedáneos del cuero excepto calzado y prendas de vestir "
"330607";"Fabricación de calzado"
"330608";"Fabricación de partes y accesorios de calzado"
"330609";"Maquilado  de calzado y partes de calzado"
"330610";"Fabricación de calzado y sus partes"
"3307";"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES"
"330701";"Aserradero y acepilladura de madera"
"330702";"Fabricación de madera laminada, terciada, enchapada y contrachapada, paneles para la construcción"
"330703";"Fabricación de partes y piezas de carpintería para edificios y construcciones"
"330704";"Fabricación de envases y recipientes de madera"
"330706";"Fabricación de artesanías de madera, semillas,  materiales trenzables"
"330707";"Fabricación de productos de madera, corcho, paja y materiales trenzables ncp"
"3308";"FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL"
"330801";"Fabricación de pasta de madera, papel y cartón"
"330802";"Fabricación de papel y cartón ondulado y envases de papel y cartón"
"330803";"Fabricación de artículos de papel y cartón de uso personal y doméstico"
"330804";"Fabricación de productos de papel ncp"
"3309";"IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES"
"330901";"Impresión "
"330902";"Servicios relacionados con la impresión"
"330903";"Reproducción de grabaciones"
"3310";"FABRICACIÓN DE COQUE Y DE PRODUCTOS DE LA REFINACIÓN DE PETRÓLEO"
"331001";"Fabricación de productos de hornos de coque"
"331002";"Fabricación de combustible"
"331003";"Fabricación de aceites y lubricantes"
"331004";"Fabricación de productos de la refinación del petróleo"
"3311";"FABRICACIÓN DE SUSTANCIAS Y PRODUCTOS QUÍMICOS"
"331101";"Fabricación de materias primas para la fabricación de colorantes"
"331102";"Fabricación de materiales curtientes"
"331104";"Fabricación de gases industriales"
"331105";"Fabricación de alcohol etílico"
"331106";"Fabricación de sustancias químicas básicas"
"331107";"Fabricación de abonos y fertilizantes"
"331108";"Fabricación de plástico y caucho en formas primarias"
"331109";"Fabricación de plaguicidas y otros productos químicos de uso agropecuario"
"331110";"Fabricación de pinturas, barnices y productos de revestimiento similares; tintas de imprenta y masillas"
"331111";"Fabricación de jabones, detergentes y similares para limpieza"
"331112";"Fabricación de perfumes, cosméticos y productos de higiene y cuidado personal, incluyendo tintes, champú, etc."
"331113";"Fabricación de jabones y detergentes preparados para limpiar y pulir, perfumes, cosméticos y otros productos"
"331114";"Fabricación de tintas y colores para escribir y pintar; fabricación de cintas para impresoras"
"331115";"Fabricación de productos pirotécnicos, explosivos y municiones"
"331116";"Fabricación de productos químicos n.c.p."
"331117";"Fabricación de fibras artificiales "
"3312";"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO"
"331201";"Manufactura de productos farmacéuticos, sustancias químicas y productos botánicos"
"331202";"Maquilado de medicamentos"
"3313";"FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO"
"331301";"Fabricación de cubiertas y cámaras; renovación y recauchutado de cubiertas"
"331302";"Fabricación de otros productos de caucho"
"331304";"Fabricación de envases plásticos"
"331305";"Fabricación de productos plásticos para uso personal o doméstico"
"331306";"Maquila de plásticos"
"331307";"Fabricación de productos plásticos n.c.p."
"3314";"FABRICACIÓN DE  PRODUCTOS MINERALES NO METÁLICOS"
"331401";"Fabricación de vidrio"
"331402";"Fabricación de recipientes y envases de vidrio"
